Date,Stock,Open,High,Low,Close,Volume
2014-04-16,MSFT,33.69376373291016,33.710441013639944,33.28510036262751,33.41020223841092,30615800
2014-04-17,MSFT,33.368492126464844,33.52695489167474,32.95149020786559,33.368492126464844,36688400
2014-04-21,MSFT,33.310115814208984,33.48525905740359,33.18501713361,33.46857859702922,22221200
2014-04-22,MSFT,33.35183334350586,33.47693207957146,33.2183927828182,33.3268110511136,27056700
2014-04-23,MSFT,33.10161590576172,33.351819638022896,32.918137198635506,33.351819638022896,24602800
2014-04-24,MSFT,33.243404388427734,33.33514534971466,32.7763609407276,33.14332478587528,42381600
2014-04-25,MSFT,33.28509521484375,33.927278593699334,33.151654719333,33.602017584733915,56876800
2014-04-28,MSFT,34.08572769165039,34.436010872921166,33.4352058740393,33.476905419519504,50610200
2014-04-29,MSFT,33.785491943359375,34.352614771892945,33.68541237993344,34.277554303955505,29636200
2014-04-30,MSFT,33.69376373291016,33.77716286245052,33.501940008316176,33.69376373291016,35458700
2014-05-01,MSFT,33.36015701293945,33.66039893509151,33.31845745296778,33.56031935486499,28787400
2014-05-02,MSFT,33.10161590576172,33.64371975036411,33.07659680512465,33.61870064972704,43416600
2014-05-05,MSFT,32.884765625,33.0599056356746,32.776344254904096,32.95982608407077,22460900
2014-05-06,MSFT,32.57619094848633,32.81804964277731,32.4844500175781,32.76801144880711,27112400
2014-05-07,MSFT,32.87643051147461,32.951490985853546,32.117487128964115,32.70963228527451,41744500
2014-05-08,MSFT,33.05990982055664,33.27675258819745,32.50112880677453,32.8097093191397,32120400
2014-05-09,MSFT,32.97651290893555,33.23505206563777,32.83473060042952,32.97651290893555,29647600
2014-05-12,MSFT,33.33514404296875,33.376843610608205,33.06826299230853,33.14332348664879,22782600
2014-05-13,MSFT,33.948246002197266,34.0154385297654,33.46951045698052,33.528302316644606,27004800
2014-05-14,MSFT,33.797080993652344,33.97345663407169,33.63750028705822,33.847472202962344,18818700
2014-05-15,MSFT,33.25954818725586,33.93146084066869,33.18395817394276,33.67109452727537,37793200
2014-05-16,MSFT,33.452728271484375,33.46112573867104,32.98239001109905,33.31834316515947,29867100
2014-05-19,MSFT,33.38553237915039,33.44432425532862,33.14196420417375,33.26794862679393,24537400
2014-05-20,MSFT,33.326751708984375,33.54512115051282,33.14197534805551,33.326751708984375,21320900
2014-05-21,MSFT,33.88945770263672,33.88945770263672,33.37712904373159,33.427520240785256,22398700
2014-05-22,MSFT,33.67950820922852,33.88948021353522,33.46953620492181,33.83908898300947,20201800
2014-05-23,MSFT,33.696292877197266,33.906264797525616,33.595507252536486,33.906264797525616,18020000
2014-05-27,MSFT,33.75509262084961,33.81388451592204,33.435937534432966,33.81388451592204,26160600
2014-05-28,MSFT,33.60390853881836,33.75508859495025,33.44433101464252,33.71309484689531,25711500
2014-05-29,MSFT,33.88106918334961,33.88946665043693,33.519917224167294,33.72149167735261,19888200
2014-05-30,MSFT,34.38498306274414,34.41018185905416,33.80546201026353,33.97344010202933,34567600
2014-06-02,MSFT,34.2590217590332,34.51098744080494,34.166633594802825,34.39340366957263,18504300
2014-06-03,MSFT,33.83907699584961,34.16663269390773,33.80548071812124,34.099440138450994,18068900
2014-06-04,MSFT,33.8642692565918,33.90626299764482,33.47792171263664,33.7718811039249,23209000
2014-06-05,MSFT,34.611759185791016,34.645355450925734,33.931452438351926,34.09102989186757,31865200
2014-06-06,MSFT,34.83854293823242,34.98972298717085,34.63697167559282,34.83854293823242,24060500
2014-06-09,MSFT,34.66215133666992,34.83852691132015,34.4521794990627,34.76293692162491,15019200
2014-06-10,MSFT,34.52778625488281,34.569780002012536,34.317814315316674,34.46059369634123,15117700
2014-06-11,MSFT,34.31782531738281,34.49420103422304,34.24223526674863,34.376617222996224,18040000
2014-06-12,MSFT,34.08263397216797,34.3345995642651,33.839065844777,34.27580769957298,29818900
2014-06-13,MSFT,34.628570556640625,34.91413251162191,34.317812995134275,34.51938425516964,26310000
2014-06-16,MSFT,34.855342864990234,34.94773103340378,34.468995255185995,34.468995255185995,24205300
2014-06-17,MSFT,35.006526947021484,35.199700774136325,33.88107706441302,34.678971187830314,22518600
2014-06-18,MSFT,34.981327056884766,35.05691708467601,34.586578777984094,34.94773077699586,27097000
2014-06-19,MSFT,34.86372375488281,35.08209626800614,34.712546973995394,34.91411815112268,19828200
2014-06-20,MSFT,35.006526947021484,35.132511410057155,34.75456122486812,34.81335311990664,47764900
2014-06-23,MSFT,35.26688766479492,35.27528513248373,35.01491877928606,35.04851505787624,18743900
2014-06-24,MSFT,35.065303802490234,35.22488127716344,34.90572632781702,35.13249634166839,26509100
2014-06-25,MSFT,35.30046844482422,35.317266578268764,34.82173285536203,35.02330725278017,20049100
2014-06-26,MSFT,35.04010391235352,35.22487696463876,34.796535793527255,35.216479500227884,23604400
2014-06-27,MSFT,35.48524475097656,35.51884101790558,34.8637266284552,34.947717295777736,74640000
2014-06-30,MSFT,35.0233154296875,35.45165671882108,35.0233154296875,35.418060444088255,30793100
2014-07-01,MSFT,35.16609191894531,35.40126261894843,35.01491189891361,35.1576944529066,26917000
